id,Area,JanEff,FebEff,MarEff,AprEff,MayEff,JunEff,JulEff,AugEff,SepEff,OctEff,NovEff,DecEff,TotalEffor,Elevmean,RiverDist,RoadDist,VillDist,Ruggmean
5346,Ndokbou,0,0,0,1910.725196,0,0,0,0,0,0,0,0,1910.725196,682.8236915,1185.093066,5441.239639,10910.99051,36.45005339
5347,Ndokbou,0,0,0,7853.380186,0,0,0,0,0,0,0,0,7853.380186,542.40625,741.2529305,6356.003565,9916.223081,27.28590687
5348,Ndokbou,0,0,0,6828.448619,0,0,0,0,0,945.0476175,0,0,7773.496237,448.728191,176.7133398,6930.788286,8922.625531,19.37047057
5349,Ndokbou,0,0,0,4099.014718,0,0,0,0,0,3685.354423,0,0,7784.369141,450.686553,71.7087352,6161.963899,7930.637588,24.75405405
5350,Ndokbou,0,0,0,1928.925358,0,0,0,0,0,5142.491492,0,0,7071.41685,489.0578512,328.55242,5467.631113,6940.949411,21.9511978
5351,Ndokbou,0,0,0,0,0,0,0,0,0,8386.952414,0,0,8386.952414,572.5823864,285.7773337,4813.993839,5954.707793,29.00941983
5352,Ndokbou,0,0,0,0,0,0,0,0,0,1630.474837,0,0,1630.474837,609.4609734,203.3749796,3868.902125,4973.963317,31.25647481
5353,Ndokbou,0,0,0,0,0,0,0,0,0,475.2940407,0,0,475.2940407,732.6070076,375.5615112,2960.113278,4002.758706,31.90345724
5495,Ndokbou,0,0,0,1521.000863,0,0,0,0,0,0,0,0,1521.000863,477.1904297,544.5293465,5154.046712,12037.16381,27.00420182
5496,Ndokbou,0,0,0,2959.294239,0,0,0,0,0,0,0,0,2959.294239,453.155303,232.5251914,5946.081905,11053.28362,22.26460835
5497,Ndokbou,0,0,0,5166.222886,0,0,0,0,0,0,0,0,5166.222886,428.3867188,23.96394138,6793.201199,10072.57887,21.66494251
5498,Ndokbou,0,0,0,2863.713784,0,0,0,0,0,4929.895217,0,0,7793.609001,427.4147727,132.7362987,6378.713927,9096.076693,15.04996074
5499,Ndokbou,0,0,0,902.8996994,0,0,0,0,0,4118.222416,0,0,5021.122116,565.0097656,795.2306983,5533.71161,8125.292449,31.41010777
5500,Ndokbou,0,0,0,1303.207535,0,0,0,0,0,2834.318907,0,0,4137.526442,717.4848485,1166.674054,4749.309108,7162.55147,38.15000871
5501,Ndokbou,0,0,0,0,0,0,0,0,0,3296.075821,0,0,3296.075821,855.4648438,1264.372444,4056.480828,6211.594783,31.6041659
5502,Ndokbou,0,0,0,0,0,0,0,0,0,1353.622086,0,0,1353.622086,841.0208333,848.9707577,3412.994724,5278.794931,32.22994113
5645,Ndokbou,0,0,0,1616.491092,0,0,0,0,0,0,0,0,1616.491092,455.4185606,406.9284233,5611.974421,12248.2112,36.78571756
5646,Ndokbou,0,0,0,0,0,0,0,0,0,575.6620742,0,0,575.6620742,640.8842975,696.7191633,6565.416303,11282.74983,42.68520422
5647,Ndokbou,0,0,0,2756.685054,0,0,0,0,0,613.2072537,0,0,3369.892308,634.7670455,964.0979443,6885.214859,10323.86603,30.54752921
5648,Ndokbou,0,0,0,921.6709346,0,0,0,0,0,2316.587163,0,0,3238.258097,576.5105601,509.3039533,5944.758739,9373.578615,22.44490025
5649,Ndokbou,0,0,0,2284.115149,0,0,0,0,0,2817.487059,0,0,5101.602208,656.0511364,489.7724887,5027.338191,8434.79355,25.64320645
5650,Ndokbou,0,0,0,243.4228822,0,0,0,0,0,422.0520466,0,0,665.4749288,907.9926538,1367.664678,4148.264951,7511.824572,40.31270364
5651,Ndokbou,0,0,0,0,0,0,0,0,0,3240.471142,0,0,3240.471142,913.7244318,1321.148571,3337.974674,6611.299009,29.26705911
5652,Ndokbou,0,0,0,0,0,0,0,0,0,506.1118047,0,0,506.1118047,868.5188246,1594.822304,2645.330543,5743.782792,21.61754597
5796,Ndokbou,0,0,0,0,0,0,0,0,0,1906.019617,0,0,1906.019617,1000.683712,1046.660764,6801.695692,11594.21444,39.44984604
5797,Ndokbou,0,0,0,1738.600747,0,0,0,0,0,1710.54456,0,0,3449.145307,1012.193359,1067.349752,6637.646326,10663.37539,42.34903892
5798,Ndokbou,0,0,0,0,0,0,0,0,0,5470.142931,0,0,5470.142931,888.4886364,557.0678898,5656.175525,9746.247529,38.90907234
5799,Ndokbou,0,0,0,969.3353248,0,0,0,0,0,3224.221595,0,0,4193.55692,918.2841797,432.0633718,4682.552123,8847.095968,43.5756932
5800,Ndokbou,0,0,0,378.7385126,0,0,0,0,0,2737.23581,0,0,3115.974323,927.4564394,371.1247173,3722.937981,7972.005598,26.2442181
5801,Ndokbou,0,0,0,0,0,0,0,0,0,2832.068905,0,0,2832.068905,937.421875,334.413325,2791.816618,7129.841473,23.86953643
5802,Ndokbou,0,0,0,0,0,0,0,0,0,841.5274375,0,0,841.5274375,861.5577652,712.6796032,1930.85806,6333.751306,20.51977993
5945,Ndokbou,0,0,0,0,0,0,0,0,0,1063.976112,0,0,1063.976112,1096.391098,281.0132744,6231.674641,12894.54952,35.46920867
5946,Ndokbou,0,0,0,0,0,0,0,0,0,2712.452642,0,0,2712.452642,1184.95225,280.1495935,7136.723356,11981.2843,33.94954973
5947,Ndokbou,0,0,0,0,0,0,0,0,0,3936.401092,0,0,3936.401092,1043.409091,67.35942676,6533.646124,11083.00228,34.54459402
5948,Ndokbou,0,0,0,0,0,0,0,0,0,6603.613453,0,0,6603.613453,954.5619835,116.6874474,5534.861296,10203.66139,30.52531843
5949,Ndokbou,0,0,0,1181.907929,0,0,0,0,0,3504.506911,0,0,4686.41484,902.9564394,669.6651678,4536.076467,9348.60802,26.65228449
5950,Ndokbou,0,0,0,0,0,0,0,0,0,2192.492077,0,0,2192.492077,892.0358127,148.2416472,3537.291639,8525.153259,19.13088617
5951,Ndokbou,0,0,0,0,0,0,0,0,0,1265.313586,0,0,1265.313586,877.625,318.5609716,2538.977181,7743.384548,19.5709778
5952,Ndokbou,0,0,0,0,0,0,0,0,0,941.0401964,0,0,941.0401964,820.446281,89.51265956,1542.847351,7017.248068,26.38055194
6095,Ndokbou,0,0,0,0,0,0,0,0,0,735.6324764,0,0,735.6324764,1034.289063,517.970147,6745.630051,13318.96287,33.59852067
6096,Ndokbou,0,0,0,0,0,0,0,0,0,1119.089433,0,0,1119.089433,986.9119318,498.9768479,7506.002227,12436.90228,29.06142357
6097,Ndokbou,0,0,0,0,0,0,0,0,0,1471.674442,0,0,1471.674442,943.9326172,824.8682973,6506.479084,11574.03579,24.50948179
